time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.718487	0.611904	6.94544	-6.61181e-017	-4.54881e-017	radar	71.4245	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15968	0.494642	6.94849	-0.119972	-0.0111884	lidar	0.231947	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26152	0.530793	6.93882	0.141694	0.0338216	radar	1.80166	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61046	0.59605	6.95865	0.174287	0.0463783	lidar	0.198054	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84756	0.565159	5.92298	0.0425748	-0.163076	radar	5.08918	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15719	0.597835	5.92893	0.0576605	-0.115567	lidar	0.232005	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37235	0.642717	5.51988	0.0806016	-0.196008	radar	4.95888	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64757	0.663798	5.52255	0.0710708	-0.195166	lidar	0.00377294	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91477	0.656336	5.46508	0.0220773	-0.358078	radar	0.246583	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14836	0.654658	5.41749	0.00812744	-0.344523	lidar	1.06349	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43612	0.548407	5.46468	-0.14871	-0.798304	radar	1.52378	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74099	0.434795	5.54877	-0.275505	-1.05397	lidar	2.33739	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02101	0.519147	5.5287	-0.136026	-0.521038	radar	3.9269	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29489	0.512029	5.50843	-0.128707	-0.438862	lidar	0.308466	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55353	0.553377	5.38813	-0.0809176	-0.28242	radar	1.68588	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73396	0.666233	5.17416	0.0268798	-0.0218191	lidar	11.8019	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98604	0.664365	5.0898	0.0175829	-0.0380516	radar	1.1816	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28779	0.65735	5.17071	0.00483435	-0.0592375	lidar	2.87969	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54682	0.662975	5.25124	0.00736149	-0.0480877	radar	1.78974	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84397	0.676727	5.3069	0.0123676	-0.0358913	lidar	1.75242	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08497	0.602507	5.18447	-0.0434566	-0.126675	radar	3.35699	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33831	0.716315	5.16033	0.0337178	0.00658813	lidar	3.7043	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
